# Pleiteticker MV – Aktenzeichen-Historie (Union-Zaehlung)
# ANCHOR = bereits gezaehlte Verfahren aus aelteren, inzwischen vom Portal
# ausgelaufenen Snapshots (nicht mehr einzeln enumerierbar).
ANCHOR: 382
580 IK 472/26
580 IK 469/26
60 IN 272/26
580 IN 459/26
580 IN 496/26
701 IN 311/26
60 IN 332/26
91 IK 291/26
91 IK 368/26
711 IK 423/26
61a IK 391/26
580 IK 455/26
712 IK 414/26
711 IK 419/26
61a IK 370/26
62 IN 509/25
61a IK 349/26
92 IK 367/26
712 IK 406/26
62 IN 190/26
580 IK 333/26
60 IK 40/26
61a IK 373/26
61a IN 390/26
580 IK 474/26
61a IK 392/26
92 IK 278/23
92 IN 182/26
92 IN 267/26
580 IN 145/26
91 IK 347/26
701 IN 256/26
92 IK 341/26
92 IN 107/26
712 IK 391/26
580 IN 374/26
580 IK 467/26
711 IK 408/26
580 IK 470/26
91 IK 362/26
92 IN 293/26
580 IK 466/26
92 IK 359/26
711 IK 313/26
711 IK 410/26
580 IN 478/26
580 IK 471/26
711 IK 407/26
91 IK 354/26
91 IK 307/26
580 IK 452/26
91 IK 353/26
91 IK 356/26
92 IK 297/26
580 IK 465/26
92 IK 322/26
711 IK 349/26
580 IN 784/25
580 IN 699/25
580 IK 456/26
580 IN 182/26
580 IK 453/26
711 IK 409/26
60 IN 180/26
60 IN 302/26
712 IK 385/26
580 IK 464/26
580 IK 460/26
91 IK 346/26
711 IK 347/26
702 IN 359/26
580 IN 443/26
580 IN 461/26
61a IK 347/26
61a IN 159/26
61a IK 247/26
702 IN 272/26
60 IN 322/26
580 IN 208/26
580 IN 223/26
62 IN 254/26
580 IN 429/26
580 IN 264/26
702 IN 49/26
60 IN 209/26
60 IN 497/25
60 IK 287/26
62 IK 277/26
62 IN 222/25
701 IN 268/26
60 IN 697/25
62 IK 300/26
701 IN 292/26
60 IN 148/26
62 IK 257/26
60 IN 317/24
60 IK 267/26
60 IK 169/26
580 IN 712/25
60 IN 84/26
61a IN 221/26
580 IN 771/25
580 IN 70/26
580 IN 86/26
580 IN 317/26
580 IN 239/26
701 IN 143/26
580 IN 302/26
60 IN 72/26
61a IN 91/26
62 IN 102/26
62 IN 703/25
580 IN 267/26
580 IN 804/25
62 IN 168/26
701 IN 87/26
702 IN 133/26
701 IN 88/26
62 IN 100/26
61a IK 127/26
60 IN 119/26
701 IN 653/25
580 IN 26/26
62 IN 617/25
62 IN 65/26
580 IN 62/26
580 IN 137/26
701 IN 713/25
702 IN 67/26
60 IK 96/26
580 IN 138/26
62 IN 405/25
60 IN 754/25
580 IK 177/26
62 IN 367/25
62 IK 56/26
580 IK 171/26
580 IK 146/26
580 IN 159/26
60 IK 626/25
580 IN 144/26
61 IN 769/22
580 IK 127/26
62 IN 717/25
60 IN 714/25
580 IN 82/26
701 IN 673/25
61a IN 54/26
60 IN 753/25
60 IN 766/25
62 IN 741/25
61a IN 55/26
60 IN 768/25
580 IN 772/25
580 IN 882/24
580 IN 39/26
580 IK 47/26
60 IN 686/25
702 IN 750/25
701 IN 483/25
62 IN 730/25
62 IN 666/25
62 IN 511/25
91 IN 257/26
61a IK 388/26
61a IN 342/26
712 IK 429/26
580 IK 518/26
580 IN 489/26
712 IK 415/26
61a IN 85/24
580 IN 505/26
580 IK 503/26
711 IK 434/26
580 IK 484/26
711 IK 420/26
92 IK 314/26
580 IN 422/26
711 IK 431/26
712 IK 376/26
580 IN 477/26
580 IK 486/26
580 IK 432/26
580 IK 473/26
712 IK 416/26
711 IK 421/26
712 IK 418/26
61a IK 389/26
712 IK 402/26
702 IN 356/26
580 IK 502/26
61a IK 296/26
711 IK 422/26
